序号,电影名称,年份,地区,类型,评分,评价人数,名言
236,驴得水,2016,中国大陆,剧情 喜剧,8.3,654358人评价,过去的如果就让它过去了，未来只会越来越糟！
237,聚焦,2015,美国,剧情 传记,8.8,206963人评价,新闻人的理性求真。
238,东京物语,1953,日本,剧情 家庭,9.2,90035人评价,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
239,追随,1998,英国,犯罪 悬疑 惊悚,8.9,130269人评价,诺兰的牛逼来源于内心散发出的恐惧。
240,九品芝麻官,1994,中国香港,喜剧 古装,8.5,372218人评价,暂无名言
241,一次别离,2011,伊朗 法国,剧情 家庭,8.7,194799人评价,只有有信仰的人才能说出事实真相。
242,哈利·波特与火焰杯,2005,英国 美国,奇幻 冒险,8.5,343704人评价,暂无名言
243,千钧一发,1997,美国,剧情 科幻 惊悚,8.8,171183人评价,一部能引人思考的科幻励志片。
244,我爱你,2011,韩国,剧情 爱情,9.0,108487人评价,你要相信，这世上真的有爱存在，不管在什么年纪 
245,黑鹰坠落,2001,美国,动作 历史 战争,8.7,207226人评价,还原真实而残酷的战争。
246,四个春天,2017,中国大陆,纪录片 家庭,8.9,116757人评价,来也匆匆去也匆匆，就这样风雨兼程。
247,网络谜踪,2018,美国 俄罗斯,剧情 犯罪 悬疑 惊悚,8.6,376835人评价,暂无名言
248,发条橙,1971,英国 美国,犯罪 剧情 科幻,8.5,277948人评价,我完全康复了。
249,E.T. 外星人,1982,美国,剧情 科幻,8.6,256540人评价,生病的E.T.皮肤的颜色就像柿子饼。
250,波西米亚狂想曲,2018,英国 美国,剧情 传记 同性 音乐,8.7,402759人评价,暂无名言
