排名,名称,热度,关注人数,浏览量,标签,链接
1,6 月 13 日浙江温岭一槽罐车爆炸，砸塌路侧厂房发生二次爆炸，目前情况如何？事故原因可能是什么？,10073 万热度,4413,10224154,"['安全', '爆炸', '化工厂', '温岭市', '油罐车']",https://www.zhihu.com/question/401198035
2,如何看待进口三文鱼切割案板检测出新冠病毒？后续生鲜食品等的进口会被限制或暂停吗？,5298 万热度,6415,8520514,"['健康', '食品', '三文鱼', '生鲜', '新型冠状病毒']",https://www.zhihu.com/question/401074955
3,如何评价综艺《乘风破浪的姐姐》第一期？,2504 万热度,8153,24018588,"['娱乐', '影视', '真人秀', '综艺', '乘风破浪的姐姐（综艺）']",https://www.zhihu.com/question/400944842
4,为什么万茜在《乘风破浪的姐姐》那么受欢迎?,2052 万热度,939,2186734,"['演员', '综艺', '万茜（演员）', '乘风破浪的姐姐（综艺）']",https://www.zhihu.com/question/401033081
5,6 月 12 日全国新增新冠肺炎 11 例，北京新增 6 例本土病例，后续防疫需要注意什么？,1824 万热度,2465,3800311,"['北京', '传染病', '肺炎', '新型冠状病毒', '新型冠状病毒肺炎']",https://www.zhihu.com/question/401100835
6,浙江温岭一槽罐车爆炸，致多人死伤，部分民房倒塌，槽罐车爆炸威力有多大？该如何防护？,1604 万热度,149,293595,"['交通事故', '爆炸', '意外', '事故', '化学事故']",https://www.zhihu.com/question/401209147
7,如何看待北京新发地市场 45 人咽拭子阳性，当地防疫情况如何？有哪些需要注意？,1392 万热度,4068,5650497,"['北京', '健康', '医疗', '医学', '新型冠状病毒肺炎']",https://www.zhihu.com/question/401125106
8,未来历史课本上记载新冠病毒这一页的配图，你会选择哪张照片？,1187 万热度,6370,9599953,"['历史', '教育', '历史书籍', '新型冠状病毒']",https://www.zhihu.com/question/394569008
9,为什么大家会把周杰伦新歌《Mojito》念错，念成「莫吉托」？,1117 万热度,332,740829,"['音乐', '流行音乐', '《Jay》']",https://www.zhihu.com/question/400912608
10,2020 KPL 春季总决赛 TS 4:3 成都 AG 超玩会夺得队史首冠，你有什么想说的？,1027 万热度,592,336948,"['王者荣耀', '王者荣耀 KPL 职业联赛', '成都AG超玩会《王者荣耀》战队', 'TS《王者荣耀》战队', '2020 KPL 春季赛']",https://www.zhihu.com/question/401185868
11,如何以「将军出征回来了，他还带回一个怀孕的女子」为开头写一个故事？,954 万热度,5825,5905553,"['小说', '故事', '脑洞类问题', '以 X 为开头写作', '写一个故事（知乎周刊）']",https://www.zhihu.com/question/387206244
12,如何评价黄晓明在《乘风破浪的姐姐》中的表现？,700 万热度,187,421656,"['黄晓明', '综艺', '乘风破浪的姐姐（综艺）']",https://www.zhihu.com/question/400980945
13,欧盟 - 越南自由贸易协定正式通过对越南有什么影响?,691 万热度,1221,1097641,"['越南', '国际贸易', '欧洲联盟（EU）', '自由贸易协定（FTA）', '中越关系']",https://www.zhihu.com/question/371782465
14,丁当在《乘风破浪的姐姐》节目后对杜华提出的质疑，你怎么看？,671 万热度,374,736404,"['影视', '综艺', '丁当', '杜华', '乘风破浪的姐姐（综艺）']",https://www.zhihu.com/question/401050253
15,如何看待警方通报「滴滴司机性侵直播」事件为夫妻二人以网约车为噱头进行色情表演？他们会受到哪些惩罚？,650 万热度,2058,3782248,"['法律', '司机', '社会', '滴滴出行', '郑州']",https://www.zhihu.com/question/401049777
16,《乘风破浪的姐姐》蓝盈莹 91 分取得初舞台第一，你怎么看?,640 万热度,221,629582,"['演员', '综艺', '蓝盈莹', '乘风破浪的姐姐（综艺）']",https://www.zhihu.com/question/401008200
